Date : 2024-05-16 21:10:46
Directory : d:\CocoCode\NWPUgame-main
Total : 230 files,  89335 codes, 963 comments, 2756 blanks, all 93054 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\advertisement.ts                            | TypeScript         |         62 |          0 |          5 |         67 |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\friend.ts                                   | TypeScript         |         27 |          0 |          8 |         35 |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\message-text.ts                             | TypeScript         |         25 |          0 |          6 |         31 |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\message_picture.ts                          | TypeScript         |         26 |          0 |          7 |         33 |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\npc.ts                                      | TypeScript         |        159 |          3 |         71 |        233 |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\npc1.ts                                     | TypeScript         |        107 |          6 |         20 |        133 |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\npc2.ts                                     | TypeScript         |         30 |          1 |          6 |         37 |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\npc_init.ts                                 | TypeScript         |         62 |          0 |         17 |         79 |
| d:\CocoCode\NWPUgame-main\assets\script\main\res\shopItem.ts                                 | TypeScript         |         66 |          0 |         16 |         82 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\constant.ts                            | TypeScript         |         63 |          0 |          5 |         68 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\framework\event\event-dispatcher.ts    | TypeScript         |         48 |         14 |         43 |        105 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\framework\event\event.ts               | TypeScript         |         64 |         67 |         19 |        150 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\framework\event\generic-event.ts       | TypeScript         |         33 |         11 |         14 |         58 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\framework\log\log.ts                   | TypeScript         |        129 |         10 |         29 |        168 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\framework\pool\pool-manager.ts         | TypeScript         |         47 |          0 |         12 |         59 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\framework\utils\utils.ts               | TypeScript         |        203 |         27 |         26 |        256 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\game-manager.ts                        | TypeScript         |         87 |          0 |         23 |        110 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\grid\grid.ts                           | TypeScript         |        375 |          5 |         40 |        420 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\input\input-manager.ts                 | TypeScript         |         75 |          0 |         19 |         94 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\2048\square\square.ts                       | TypeScript         |         47 |          0 |         17 |         64 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\bird\AudioController.ts                     | TypeScript         |         50 |          1 |         14 |         65 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\bird\Bird.ts                                | TypeScript         |        161 |         33 |         24 |        218 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\bird\Game.ts                                | TypeScript         |        118 |          7 |         29 |        154 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\bird\Ground.ts                              | TypeScript         |         49 |          3 |         13 |         65 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\bird\PipeGroup.ts                           | TypeScript         |         72 |          4 |          7 |         83 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\bird\PipeManager.ts                         | TypeScript         |         80 |          6 |         12 |         98 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\bird\PlayerController.ts                    | TypeScript         |         56 |          0 |         18 |         74 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\bird\UIControl.ts                           | TypeScript         |         75 |          0 |         13 |         88 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\book\CreateClouds.ts                        | TypeScript         |         74 |         10 |         37 |        121 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\book\DestroyClouds.ts                       | TypeScript         |         12 |          0 |          7 |         19 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\book\book_move.ts                           | TypeScript         |         65 |          9 |         29 |        103 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\book\collidedetect.ts                       | TypeScript         |         79 |         13 |         50 |        142 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\book\destroycloud.ts                        | TypeScript         |         13 |          2 |         17 |         32 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\book\map.ts                                 | TypeScript         |         19 |          0 |         14 |         33 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\daka\daka_GameManager.ts                    | TypeScript         |        253 |          5 |         21 |        279 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\daka\daka_maker.ts                          | TypeScript         |        157 |          8 |         17 |        182 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\minigame2\btnmove.ts                        | TypeScript         |         38 |          5 |         17 |         60 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\minigame2\create.ts                         | TypeScript         |         38 |          8 |         24 |         70 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\minigame2\detect.ts                         | TypeScript         |         45 |          7 |         25 |         77 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\minigame2\enemymove.ts                      | TypeScript         |         25 |          0 |         14 |         39 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\minigame2\pool.ts                           | TypeScript         |         21 |          2 |         11 |         34 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\shuadan\game1.ts                            | TypeScript         |         71 |          1 |         39 |        111 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\shuadan\game2.ts                            | TypeScript         |         66 |          2 |         27 |         95 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\shuadan\game3.ts                            | TypeScript         |         61 |          2 |         34 |         97 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\shuadan\gamesManager.ts                     | TypeScript         |        122 |          3 |         55 |        180 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\shuadan\scoreboard.ts                       | TypeScript         |         14 |          1 |         12 |         27 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\shuadan\timer.ts                            | TypeScript         |         28 |          0 |         20 |         48 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\start\Game.ts                               | TypeScript         |        152 |         37 |         45 |        234 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\start\Global.ts                             | TypeScript         |          4 |          0 |          0 |          4 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\start\Player.ts                             | TypeScript         |        163 |         37 |         44 |        244 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\start\ScoreAnim.ts                          | TypeScript         |         13 |          0 |          3 |         16 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\start\ScoreFX.ts                            | TypeScript         |         19 |          0 |          6 |         25 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\start\Star.ts                               | TypeScript         |         39 |         11 |          9 |         59 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\watermelon\scripts\Fruit.ts                 | TypeScript         |         34 |         30 |          9 |         73 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\watermelon\scripts\GameDefine.ts            | TypeScript         |         11 |          2 |          1 |         14 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\watermelon\scripts\GameManager.ts           | TypeScript         |        180 |         76 |         36 |        292 |
| d:\CocoCode\NWPUgame-main\assets\script\minigame\watermelon\scripts\Juice.ts                 | TypeScript         |         88 |         30 |         17 |        135 |
| d:\CocoCode\NWPUgame-main\assets\script\music\music.ts                                       | TypeScript         |         29 |          0 |         19 |         48 |
| d:\CocoCode\NWPUgame-main\build-templates\templates-version.json                             | JSON               |          3 |          0 |          1 |          4 |
| d:\CocoCode\NWPUgame-main\index.nginx-debian.html                                            | HTML               |         23 |          0 |          3 |         26 |
| d:\CocoCode\NWPUgame-main\nginx.conf                                                         | Properties         |         23 |         45 |         18 |         86 |
| d:\CocoCode\NWPUgame-main\package.json                                                       | JSON               |          7 |          0 |          1 |          8 |
| d:\CocoCode\NWPUgame-main\settings\v2\packages\builder.json                                  | JSON               |         83 |          0 |          1 |         84 |
| d:\CocoCode\NWPUgame-main\settings\v2\packages\cocos-service.json                            | JSON               |         23 |          0 |          1 |         24 |
| d:\CocoCode\NWPUgame-main\settings\v2\packages\device.json                                   | JSON               |          3 |          0 |          1 |          4 |
| d:\CocoCode\NWPUgame-main\settings\v2\packages\engine.json                                   | JSON               |        156 |          0 |          1 |        157 |
| d:\CocoCode\NWPUgame-main\settings\v2\packages\information.json                              | JSON               |         32 |          0 |          1 |         33 |
| d:\CocoCode\NWPUgame-main\settings\v2\packages\program.json                                  | JSON               |          3 |          0 |          1 |          4 |
| d:\CocoCode\NWPUgame-main\settings\v2\packages\project.json                                  | JSON               |         53 |          0 |          1 |         54 |
| d:\CocoCode\NWPUgame-main\tsconfig.json                                                      | JSON with Comments |          7 |          2 |          2 |         11 |
| Total                                                                                        |                    |     89,335 |        963 |      2,756 |     93,054 |
+----------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
